pipeline,status,n_files,n_features,n_splits,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std
raw_aggregate,ok,150,168,5,0.64,0.07118052168020872,0.7175840764702455,0.034938692774583315,0.6806531100478468,0.13634256061424146
simple_default,ok,150,168,5,0.6199999999999999,0.11075498483890768,0.6930976430976432,0.10748812183139643,0.6780622009569377,0.12740234253284058
robust_default,ok,150,168,5,0.6133333333333333,0.1407914138796192,0.7001990813341787,0.09835571775174906,0.6976196172248803,0.19328073015500677
cirrus_recommended,ok,150,168,5,0.6866666666666668,0.08844332774281068,0.772586256796783,0.05419725350832636,0.6905023923444975,0.1644024874176069
